team_id,team_name,code,abbrev,league,division
133,Oakland Athletics,oak,OAK,American League,American League West
134,Pittsburgh Pirates,pit,PIT,National League,National League Central
135,San Diego Padres,sdn,SD,National League,National League West
136,Seattle Mariners,sea,SEA,American League,American League West
137,San Francisco Giants,sfn,SF,National League,National League West
138,St. Louis Cardinals,sln,STL,National League,National League Central
139,Tampa Bay Rays,tba,TB,American League,American League East
140,Texas Rangers,tex,TEX,American League,American League West
141,Toronto Blue Jays,tor,TOR,American League,American League East
142,Minnesota Twins,min,MIN,American League,American League Central
143,Philadelphia Phillies,phi,PHI,National League,National League East
144,Atlanta Braves,atl,ATL,National League,National League East
145,Chicago White Sox,cha,CWS,American League,American League Central
146,Miami Marlins,mia,MIA,National League,National League East
147,New York Yankees,nya,NYY,American League,American League East
158,Milwaukee Brewers,mil,MIL,National League,National League Central
108,Los Angeles Angels,ana,LAA,American League,American League West
109,Arizona Diamondbacks,ari,ARI,National League,National League West
110,Baltimore Orioles,bal,BAL,American League,American League East
111,Boston Red Sox,bos,BOS,American League,American League East
112,Chicago Cubs,chn,CHC,National League,National League Central
113,Cincinnati Reds,cin,CIN,National League,National League Central
114,Cleveland Indians,cle,CLE,American League,American League Central
115,Colorado Rockies,col,COL,National League,National League West
116,Detroit Tigers,det,DET,American League,American League Central
117,Houston Astros,hou,HOU,American League,American League West
118,Kansas City Royals,kca,KC,American League,American League Central
119,Los Angeles Dodgers,lan,LAD,National League,National League West
120,Washington Nationals,was,WSH,National League,National League East
121,New York Mets,nyn,NYM,National League,National League East
